| Energy | San Marino |
| --- | --- |
| Electricity - production: | NA |
| Electricity - production by source: | fossil fuel: 41.18% |
| Electricity - production by source: | other: 0% |
| Electricity - production by source: | nuclear: 0% |
| Electricity - production by source: | hydro: 58.82% |
| Electricity - consumption: | NA (2000) |
| Electricity - exports: | 0 kWh |
| Electricity - exports: | note: electric power supplied by Italy |
| Electricity - imports: | 0 kWh |
| Electricity - imports: | note: electricity supplied by Italy |
