| Energy | San Marino |
| --- | --- |
| Electricity - production: | 0 kWh |
| Electricity - production by source: | fossil fuel: NA% |
| Electricity - production by source: | other: NA% |
| Electricity - production by source: | nuclear: NA% |
| Electricity - production by source: | hydro: NA% |
| Electricity - consumption: | 184.5 million kWh (2000) |
| Electricity - exports: | 0 kWh |
| Electricity - exports: | note: electric power supplied by Italy (1999) |
| Electricity - imports: | 185 kWh |
| Electricity - imports: | note: electricity supplied by Italy (2000) |
